,CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,CODESC,NOMEESC
108,35108509,13,35108509,JULIO VERNE CENTRO DE ESTUDOS
109,35007648,13,35007648,MARILENE DE OLIVEIRA ACETTO PROFESSORA
110,35174087,13,35174087,CARITAS ESCOLA
111,35198959,13,35198959,OCTAGON COLEGIO
112,35800089,13,35800089,NOSSA SENHORA DAS GRACAS INSTITUTO EDUCACIONAL COLEGIO
113,35287600,13,35287600,ANGLO - LEONARDO DA VINCI COLEGIO
114,35296016,13,35296016,ALFA OMEGA COLEGIO
115,35102027,13,35102027,ANTARES COLEGIO
116,35101667,13,35101667,PARQUE SEVILHA COLEGIO
117,35101096,13,35101096,LUIZ TEZZA PADRE COLEGIO
118,35100298,13,35100298,ORLANDO GARCIA DA SILVEIRA COLEGIO
119,35325983,13,35325983,TALES DE MILETO COLEGIO
120,35121551,13,35121551,NOGUEIRA E SONHO DE CRIANCA COLEGIO
121,35159165,13,35159165,ESPACO VERDE ROUSSEAU COLEGIO
122,35139051,13,35139051,PROGRESSO COLEGIO EDUCACIONAL
123,35151725,13,35151725,CAVLAC COLEGIO
124,35004625,13,35004625,MARIA RIBEIRO GUIMARAES BUENO PROFESSORA
125,35151907,13,35151907,AMERICO FRANCO INSTITUTO EDUCACIONAL
126,35105302,14,35105302,JOANA D ARC COLEGIO
127,35809287,14,35809287,RANIERI COLEGIO
128,35107165,14,35107165,PIONEIRO CENTRO EDUCACIONAL
129,35107189,14,35107189,BILAC COLEGIO
130,35131623,14,35131623,JEAN PIAGET COLEGIO
131,35142281,14,35142281,PUERI DOMUS ESCOLA EXPERIMENTAL
132,35153285,14,35153285,COMUNIDADE COLEGIO DA
133,35165335,14,35165335,LECTUS COLEGIO
134,35117912,14,35117912,HELIO DE SOUZA COLEGIO
135,35176229,14,35176229,ZELINDA PIFFER BANHE CENTRO EDUCACIONAL
136,35144307,14,35144307,RICARDO RODRIGUES ALVES COLEGIO
137,35143406,14,35143406,AUGUSTO LARANJA COLEGIO UNIDADE I
138,35124503,14,35124503,DOM MACARIO SCHMITT COLEGIO
139,35120029,14,35120029,EMILIA FERREIRO COLEGIO
140,35133176,14,35133176,PADUA COLEGIO
141,35800090,14,35800090,MANUEL BANDEIRA POETA COLEGIO
142,35105077,14,35105077,SANTA CATARINA DE SENA COLEGIO EEIFM
143,35003554,14,35003554,MAURO DE OLIVEIRA PROFESSOR
144,35446725,14,35446725,LEONARDO DA VINCI COLEGIO ANGLO
145,35802360,14,35802360,OBJETIVO SUZANO UNIDADE DE ENSINO MEDIO COLEGIO
146,35138253,14,35138253,SANTA JOANA D ARC INSTITUTO EDUCACIONAL UNIDADE I
147,35138198,14,35138198,HORTO FLORESTAL EXTERNATO EEIFM
148,35135720,14,35135720,PORTO MARCHESANO COLEGIO
149,35135471,14,35135471,PIONNEIRO ESCOLA NORTE
150,35159554,14,35159554,VARGEM GRANDE PAULISTA ESCOLA COOPERATIVA DE
151,35153953,14,35153953,IEDA PICON INSTITUTO
152,35161007,14,35161007,LUX DEI COLEGIO
153,35288573,14,35288573,CANDELARIA INSTITUTO EDUCACIONAL
154,35141297,14,35141297,CIDADE CANCAO COLEGIO
155,35802050,14,35802050,MUNDO ATUAL COLEGIO
156,35168531,14,35168531,SAO JUDAS TADEU EXTERNATO UNIDADE III
157,35809512,15,35809512,VIVENDO E APRENDENDO COLEGIO
158,35103834,15,35103834,OFELIA FONSECA COLEGIO
159,35299686,15,35299686,BELO FUTURO INTERNACIONAL COLEGIO
160,35144373,15,35144373,PAINEIRA CENTRO EDUCACIONAL
161,35101564,15,35101564,SANTA MARIA ESCOLA
162,35100183,15,35100183,LICEU CARVALHO PINTO EIFM
163,35809883,15,35809883,TERRA NOVA COLEGIO
164,35168828,15,35168828,ISAAC NEWTON ESCOLA UNIDADE II
165,35107529,15,35107529,SAO LUIZ DE GONZAGA COLEGIO
166,35115307,15,35115307,DOMUS VIVENDI COLEGIO
167,35141331,15,35141331,CRISTOVAO COLOMBO COLEGIO
168,35132056,15,35132056,ESTRUTURAL COLEGIO
169,35138216,15,35138216,SIGMUND FREUD COLEGIO
170,35137066,15,35137066,SERGIO BUARQUE DE HOLANDA COLEGIO
171,35133462,15,35133462,PAULISTA DE EDUCACAO BASICA ESCOLA
172,35166397,15,35166397,INTERATE COLEGIO
173,35164082,15,35164082,ESPERANTO COLEGIO
174,35166832,15,35166832,FILADELFIA INSTITUTO EDUCACAO CULTURAL
175,35124291,15,35124291,MARAJOARA COLEGIO
176,35007031,15,35007031,EUSTAQUIO PADRE
177,35162152,15,35162152,ZANINI COLEGIO
178,35141264,15,35141264,DOMINUS VIVENDI COLEGIO EIFM
179,35156541,16,35156541,APRENDIZ DO FUTURO COLEGIO
180,35140824,16,35140824,ELITE EDUCANDARIO
181,35158197,16,35158197,GUSTAVO AMARAL COLEGIO
182,35468344,16,35468344,FENIX UNIDADE III COLEGIO
183,35197397,16,35197397,ADONAI COLEGIO
184,35187185,16,35187185,VITTA VIVACE COLEGIO UNIDADE II
185,35481105,16,35481105,POLICIA MILITAR COLEGIO DA
186,35809305,16,35809305,CONQUISTA COLEGIO
187,35102088,16,35102088,VILA MATILDE ESCOLA ADVENTISTA DE
188,35107335,16,35107335,NOSSA SENHORA DAS MERCES COLEGIO MERCEDARIO
189,35154908,16,35154908,DESAFIO CENTRO EDUCACIONAL
190,35150228,16,35150228,PARQUE CONTINENTAL EXTERNATO
191,35131490,16,35131490,MADRE IVA COLEGIO
192,35109061,16,35109061,BRASILIA COLEGIO
193,35100024,16,35100024,PADRE GIORDANO COLEGIO
194,35123547,16,35123547,MONTEIRO LOBATO ESCOLA
195,35155196,16,35155196,VINICIUS DE MORAES COLEGIO
196,35120017,16,35120017,ALEXANDRE DE GUSMAO ESCOLA
197,35144150,16,35144150,SION COLEGIO
198,35125349,16,35125349,ARCO IRIS ENCANTADO EEI E EF
199,35805701,16,35805701,PALMYRA TAGLIARI EXTERNATO
200,35807618,16,35807618,PORTAL DO FUTURO COLEGIO
201,35173150,16,35173150,PADIAL COLEGIO
202,35173685,16,35173685,MARTINS PENNA COLEGIO
203,35103263,17,35103263,CORACAO DE JESUS LICEU
204,35299327,17,35299327,TOM JOBIM COLEGIO MUNICIPAL
205,35153497,17,35153497,MIGUEL COLEGIO
206,35101916,17,35101916,ISLAMICA BRASILEIRA ESCOLA
207,35044891,17,35044891,BAIRRO DAS PALMEIRAS
208,35806298,17,35806298,SANTO ANDRE COLEGIO
209,35101148,17,35101148,PASSIONISTA SANTA GEMA COLEGIO
210,35065134,17,35065134,SAGRADA FAMILIA INSTITUTO
211,35139191,17,35139191,VIVA VIDA COLEGIO
212,35152523,17,35152523,RAPOSO TAVARES COLEGIO
213,35335733,17,35335733,FARAOS COLEGIO
214,35805452,17,35805452,SCARANNE COLEGIO
215,35139099,17,35139099,TERRA COLEGIO
216,35155111,17,35155111,SILOGEU COLEGIO
217,35108613,17,35108613,BARAO DE MAUA COLEGIO
218,35133735,17,35133735,SENADOR FLAQUER COLEGIO
219,35923795,17,35923795,CELIA RIBEIRO LANDIM PROFA
220,35144824,17,35144824,DISCERE LABORATUM COLEGIO
221,35115642,17,35115642,LEBISTE COLEGIO
222,35004157,17,35004157,ALBERTO TORRES
223,35139142,17,35139142,MANOEL DA NOBREGA IEMANO INSTITUTO EDUCACIONAL
224,35118936,17,35118936,HORIZONTES UIRAPURU COLEGIO
225,35218085,17,35218085,MARIA FERNANDES MACHADO DE OLIVEIRA COLEGIO MUNICIPAL
226,35104887,17,35104887,HUGO SARMENTO COLEGIO EFM
227,35125179,18,35125179,SANTA RITA COLEGIO
228,35118412,18,35118412,NOVA ESCOLA
229,35044945,18,35044945,JOSE CARLOS DA SILVA JUNIOR
230,35152900,18,35152900,COLISEU COLEGIO
231,35157132,18,35157132,EVOLUCAO COLEGIO
232,35153084,18,35153084,EDUCANDARIO DOS ANJOS
233,35036213,18,35036213,PERCIO PUCCINI PROFESSOR
234,35144204,18,35144204,MARIO SCHENBERG COLEGIO
235,35161412,18,35161412,LEILA GUEDES COLEGIO
